,accuracy,precision,recall,f1_score,roc_auc
XGBoost,0.7021930683375759,0.23153935185185184,0.6745911313437869,0.3447503338934126,0.7561346420722153
Random Forest,0.7299588799686705,0.2443070917371503,0.6331141460124768,0.352565607248486,0.7531520585420088
Logistic Regression,0.673996475425886,0.21880575086577816,0.7030854830551341,0.3337468486133899,0.7498104778798461
